State	Model	DGtau1	DGtaudag	Kdiss(instance0)	Kdiss(instance1)	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho	
7305000	4	-4.8129596511	7.964476821	102.0349240126	13.1632514933	0.0485085215	0.4588751082	124.5669953184	19.54850631	16.4033277763	14.2595190365	30.1478176686	25.7120013708	22.6453025986	39.8872817328	34.1740474229	30.7797745858	48.6486246723	42.9022516866	60.896865469	54.4420313192	49.0499900933	74.7386244128	67.8976851956	63.8983337324	99.153356956	94.1124859944	90.1916801346	8.599392	4.781097	
7310000	4	-4.7637433716	8.8243871732	106.579783099	2.9403474907	0.0204368795	2.943045974	129.4392342573	19.1908082935	15.9856033888	13.7766270092	30.2177484134	25.3635499968	22.3762082369	39.6354879408	34.224582516	29.9189688783	48.8742949091	41.9347940387	60.9786845079	53.649639934	48.8949191306	76.1119477916	69.3125973563	63.3857385489	101.6433792868	95.5305881098	91.9807506384	8.820431	4.841588	
7315000	4	-4.7515370471	9.2445248681	102.7672655299	0.5862365347	0.3630553631	2.2088449352	128.8478214092	19.898809453	16.3767089192	14.1633451566	30.6610722757	25.8520325838	22.7196419737	40.3743618911	34.7137879408	30.81674772	49.6444383591	43.4024442737	61.6091046047	54.4221474821	49.7904603589	76.7444600062	70.2214010281	64.52341136	100.3720954107	96.4772455031	92.5412990411	8.867553	4.741048	
7320000	4	-4.8626720778	6.6495776177	108.1448302786	2.2638487968	0.0572299589	3.3964897439	129.158453489	19.790523384	16.5731205576	14.216483642	30.2644817174	25.841101959	22.7425024153	40.1356351931	34.8213533904	30.9161174671	48.9600534	43.318269912	61.501095201	55.2924872754	49.9576789532	76.6301402591	69.878454317	64.9191202332	101.2832804903	96.7966960309	92.6756468723	6.775347	4.762061	
7325000	4	-5.1298500238	10.9721706272	122.0647187247	4.465445151	0.6712815533	1.6537234154	127.1709891778	18.7616323131	16.1310683896	14.3462924393	29.1086725277	25.3960821965	22.7036630698	38.353053077	34.0133497287	30.8015099532	46.98234297	42.7399456777	59.2426262675	53.3814088204	49.9112211614	74.0423925142	68.7139408719	64.2308802891	98.7199012811	94.6482674076	91.4817722191	7.794506	4.807924	
7330000	4	-4.9838324486	9.1039890165	111.2121518163	1.6900653635	2.2661190269	2.3794363944	126.3299035513	19.4129347906	16.5592989203	14.3698737375	30.0798712487	26.0431092302	23.1802394354	39.7165055079	34.7148546857	31.0930522684	48.6047797669	43.2630404957	60.1759043384	54.317049622	50.1142788846	74.8686590948	69.301040552	64.1244006602	99.0080331948	95.0279754879	92.1974012103	8.732173	4.667274	
7335000	4	-4.8279590088	10.0647850728	112.7733281786	39.2543278448	0.0285635447	0.3511954135	132.1506440179	19.1379412376	16.0928679207	13.864554194	29.7551507346	25.2345777528	22.1511204818	39.3373423887	34.3688589989	30.0548031162	48.2842393828	42.7112399503	61.080903059	54.4409110305	49.3114713934	76.5704945279	70.0798316763	63.9004761433	102.5096868276	97.9672239929	93.4096432191	7.022932	4.845207	
7340000	4	-4.7141285089	8.573621683	107.2676795361	2.5834180946	0.1315585055	0.8066902343	130.4934620925	19.0922683244	15.7359355945	13.6372825243	29.6563958586	25.0254441949	21.7515200579	39.4373152435	33.400529135	29.3546367541	48.7934892332	41.6895554747	61.0004961847	53.5716456942	48.2462346852	75.9461415395	68.6831848309	63.18864305	101.5388718762	95.7159099876	91.5360694989	9.796724	4.847544	
7345000	4	-4.7795505189	8.3946481064	103.1704952142	113.8586065583	0.0123155524	2.0391841098	124.3426601794	19.09098511	16.0583527093	13.874824285	29.9115091028	25.112830649	21.9598109621	38.9290442844	33.1047659134	29.7214358703	47.9352887572	41.6159742187	59.7945643447	52.6738215498	48.0207065386	73.8996002704	67.6841455844	62.6499540025	97.5804894271	93.0116975304	89.2638610053	4.87918	4.836053	
7350000	4	-4.8254857306	8.9754837772	108.2001746759	11.190430505	0.6240817458	2.0562121205	127.9211815311	19.1578718022	16.0574785897	13.9040874079	29.9679346639	25.438393136	22.1684422348	39.4459369188	34.2312454186	30.0841374013	48.729269848	42.6317505713	59.9823142407	53.7998716827	49.0956824487	75.1678809061	69.1824937577	63.6606826779	100.6928471643	95.2117943199	91.4602757326	9.481859	4.719686	
