State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	chiSquared	
16380000	5	-3.9212000324	2.2831638402	2.932572543	1.2918236866	2.5985754015	126.5376131991	19.582517	16.317213	13.957458	30.316798	25.688327	22.373403	39.780216	34.463105	30.166731	48.780906	42.453483	60.50627	53.859985	48.645127	75.260517	68.777249	63.90695	99.585326	94.574038	90.478205	-9.844333	4.549079	
16390000	5	-3.9673510948	3.9621009887	1.7319671477	1.2379354339	2.3175584199	128.8709248153	19.437273	16.12069	13.939386	30.069402	25.390533	22.0964	40.073005	34.189216	30.263496	48.665073	42.095526	60.748488	54.28257	48.69987	76.082557	69.022504	63.817851	100.958997	95.91015	91.730262	-10.590614	4.619075	
16400000	5	-3.9573274845	1.9757638717	4.8704695593	1.3123852588	0.3614797056	126.6111972632	19.763208	16.363204	14.178922	30.525358	25.734621	22.487079	40.144804	34.256116	30.424904	49.232976	42.827071	61.169934	54.458639	49.228188	75.831914	68.825008	64.206331	99.905897	95.269053	91.14395	-9.843251	4.579314	
16410000	5	-4.0420751934	2.3894191271	2.8693263162	1.1840699072	3.0132213152	131.9935208405	19.092959	15.984648	14.011515	29.53428	25.420996	22.238305	39.464708	33.691885	30.15151	48.560999	42.213919	60.627237	54.02822	48.924734	76.034621	69.638804	64.089767	101.962378	97.133576	93.146812	-9.871309	4.612221	
16420000	5	-4.1998158392	0.6950506456	11.8969136012	1.2269978862	0.6494628731	128.0588016104	19.062667	16.219591	14.058249	29.371318	25.745727	22.469228	39.103532	34.1796	30.760456	48.117763	42.611037	59.670203	54.008764	49.458861	75.059984	69.213896	64.183343	100.015045	95.069886	92.269145	-10.749414	4.614471	
16430000	5	-4.0363166767	4.1210672973	7.3368693369	1.2948995959	1.4737657515	126.0334360175	19.650614	16.517312	14.265716	30.202981	26.027942	22.728781	39.820007	34.308375	30.583364	48.907459	42.75806	60.735266	54.384071	49.233155	75.599131	69.13631	64.54411	98.884904	94.812002	90.523706	-10.479898	4.606227	
16440000	5	-4.1752513871	2.9738965084	9.8584468043	1.2417674364	0.1616032942	126.6120898644	19.315332	16.228596	14.356744	29.935241	25.906653	22.809061	39.318088	34.342356	30.671537	48.336002	42.835117	60.316185	54.040002	49.563934	75.18414	69.355425	64.560995	99.258959	94.811025	91.685163	-9.881668	4.60308	
16450000	5	-4.1051893875	4.2107365659	0.1922828994	1.1341203479	3.1849540105	128.8389386558	19.009699	16.019076	13.972928	29.547838	25.333036	22.188132	39.243857	33.696829	30.400415	47.974106	42.247926	59.908883	53.975499	49.355205	75.014491	68.551189	63.720707	100.033467	95.443227	91.983924	-12.482398	4.623083	
16460000	5	-4.0400674347	2.874253643	0.1374010789	1.1817131992	2.8074002159	128.7671349598	19.193672	16.140233	14.053154	30.013602	25.583405	22.38037	39.486448	34.105702	30.508826	48.671315	42.579483	60.876933	53.664136	48.975723	75.395723	69.371173	64.205682	100.386746	95.90798	92.103392	-12.130615	4.554457	
16470000	5	-4.0793390301	3.0925301967	0.2660090725	1.1516220819	3.3606030845	129.2246992624	19.226244	16.106907	13.906412	29.671957	25.260977	22.214965	39.110923	33.929444	29.812374	48.551664	42.453997	60.091352	53.933847	49.363573	75.492507	68.984709	64.185058	100.578186	95.435833	91.522947	-11.443343	4.540036	
16480000	5	-4.1494612168	5.7920694702	1.7447411113	1.1576698994	1.6894715858	126.2052025646	19.293245	16.343328	14.313153	30.01267	25.692319	22.835211	39.415123	34.128337	30.703058	48.238241	42.559375	60.311151	54.346063	49.473121	74.435631	69.078552	64.460069	99.313244	94.834783	91.206183	-12.925769	4.537773	
16490000	5	-4.2536112069	3.1497980984	6.2203857634	1.1272735656	3.2441748443	127.8644492666	18.826014	16.18593	14.21048	29.308038	25.272633	22.574378	38.446416	33.890911	30.248391	47.790289	42.249588	59.323524	53.689909	49.300838	74.561786	68.644538	64.503679	99.115671	94.906576	91.52748	-9.881319	4.617293	
16500000	5	-4.2478584619	4.4863823337	8.4109100181	1.1690329945	2.828313918	128.9412241383	18.922124	16.413706	14.462603	29.468934	25.512122	23.014985	39.071577	34.117895	30.883372	48.055795	42.745062	60.362655	53.902289	50.04031	74.980694	69.76721	64.850574	100.855226	96.026389	93.084095	-10.879163	4.610288	
16510000	5	-4.2274444982	1.2332042671	7.0705323039	1.1661660161	0.7853496991	126.5407243881	19.070837	16.247426	14.219302	29.376207	25.681926	22.888782	39.090002	34.105247	30.544176	47.89174	42.597944	59.7015	53.816377	49.330622	74.509611	68.914429	64.046424	99.358081	94.626526	91.653185	-10.201803	4.599208	
