State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho
1194	5	-3.9209472443	2.4231927759	21.4545709713	1.5494617253	3.0803963412	127.9040806296	19.383551	15.806232	13.718043	29.839028	25.17308	22.133557	39.382048	33.691963	29.647052	48.540265	42.221962	60.580635	53.399236	48.770998	75.270158	68.505657	63.525816	99.893467	95.18183	90.707313	-10.125571	4.597599
1195	5	-3.9238436283	4.2964558868	8.2041604574	1.3328262997	1.7135676252	126.3571266621	19.408662	15.73651	13.684926	30.092238	25.341884	21.896807	39.219633	33.006566	29.305406	48.19956	42.016333	59.939187	53.629465	48.273406	74.665563	68.156714	63.247852	99.534427	94.394521	91.100484	-10.640917	4.407303
1196	5	-3.9760372965	3.248856845	1.9348593724	1.252328229	2.3370178698	127.9986352116	19.828205	16.275004	14.288695	30.605932	25.891789	22.535621	39.87744	34.417987	30.372107	49.069978	42.979119	61.205531	54.565133	49.686395	76.270609	69.590375	64.23196	100.79293	96.172394	91.601472	-10.121633	4.613685
1197	5	-4.0728188105	2.1896341973	2.1945073264	1.1910725439	3.0204801968	127.9787236103	19.409701	16.040202	14.286326	29.964388	25.724814	22.885717	39.501874	34.152798	30.406934	48.725033	42.438938	60.410794	54.15686	49.707434	75.554451	69.087494	63.545556	100.012169	95.943719	92.100077	-9.945698	4.622968
1198	5	-3.9468576901	3.0711079846	1.7163325257	1.2552243253	3.0959120666	124.3404577647	19.527822	16.360852	13.829404	30.520467	25.580779	22.069923	39.78028	33.966988	29.903239	47.97493	42.835278	60.19062	53.282662	48.732107	73.747626	67.940176	63.023266	98.858879	93.920799	89.55407	-10.064716	4.533513
1199	5	-4.0167360726	2.1336543925	3.815333729	1.2093274581	0.6527812065	126.9904787873	19.013617	15.912257	13.824779	29.438365	25.423382	21.887028	39.106088	33.536062	30.154468	48.265198	41.579039	60.152763	53.14369	48.325796	75.014832	68.876543	63.381068	99.011618	93.845499	91.494405	-9.799745	4.619318
1200	5	-4.1707778378	3.6168501167	14.0561896352	1.3162640808	2.5555036178	124.5045165376	19.444107	16.418559	14.533256	30.390904	25.813905	23.121669	39.800333	35.094687	31.011756	48.175721	42.638207	60.484984	53.985615	49.550567	74.369266	68.970086	63.932349	98.329908	94.348013	91.827374	-10.248089	4.599975
1201	5	-4.1207013494	3.8197638917	23.8716646683	1.4672525367	1.0502575197	125.9278285741	19.411571	16.281387	14.159242	29.706004	25.681595	22.754732	39.239441	34.196403	30.511611	48.342109	42.577801	59.401804	53.923898	49.367689	74.401885	69.189234	63.63961	98.513229	93.925998	90.814262	-10.637922	4.552343
1202	5	-3.8978959789	4.194826958	8.8971066797	1.4172991161	2.7511037901	126.182192226	19.974678	16.527517	14.097855	30.677444	25.850636	22.692966	40.724452	34.750949	30.539822	49.398616	43.014912	61.674186	54.21566	49.445801	76.178239	68.760559	64.294159	99.631096	95.263204	91.553759	-10.58901	4.594498
1203	5	-3.7901377261	2.1913932816	3.1475381894	1.3739379724	1.9111354177	125.025389656	19.777965	16.208258	13.769963	30.641801	25.267159	21.816495	40.029761	34.031094	30.018177	48.887401	42.320735	61.544498	53.135796	48.05056	75.0278	68.257895	63.342941	99.327254	94.506827	89.578615	-9.839779	4.555209
